0,1
होता,HOTA
मस्त,MAST
सब,SAB
ठीक,THIK
चल,CHAL
रहा,RAHA
तू,TU
सुना,SUNA
खास,KHAS
आता,AATA
जाकर,JAKAR
सो,SO
बारे,BARE
आप,AAP
था,THA
नो,NO
क्रिकेट,CRICKET
कहलाता,KAHLATA
एंड,END
सारे,SAARE
थे,THE
पाँच,PANCH
आ,AA
देखी,DEKHI
थी,THI
नाइट,NITE
तेरे,TERE
संग,SANG
तुम,TUM
ने,NE
मिलेगा,MILEGA
अरे,ARE
बोरिंग,BORING
लगा,LAGA
देखूंगा,DEKHUNGA
सकता,SAKATA
होना,HONA
तक,TAK
देखने,DEKHNE
लायक,LAYAK
संगली,SANGALI
पढाई,PADHAI
गाँव,GANV
महाराष्ट्र,MAHARASHTRA
राज्य,RAJY
जा,JA
सकते,SAKATE
जाती,JAATI
समय,SAMAY
लेती,LETI
स्कूल,SCHOOL
टाइम,TIME
अपनी,APNI
जोधपुर,JODHPUR
हालाँकि,HALANKI
मेरे,MERE
रहे,RAHE
उस,US
जितना,JITNA
याद,YAD
इंट्रोवर्ट,INTROVERT
कम,KAM
लोगों,LOGON
बात,BAT
गिनेचुने,GINECHUNE
दोस्त,DOST
होते,HOTE
बम्बई,BAMBAI
पिछ्ले,PICHLE
तीन,TEEN
रह,RAH
मे,ME
हुआ,HUA
तब,TAB
रहने,RAHNE
लिए,LIE
शहर,SHAHAR
आके,AAKE
मिला,MILA
या,YA
दूसरी,DUSRI
पे,PE
हाँ,HAAN
किसे,KISE
पता,PATA
बार,BAR
हर,HAR
जितनी,JITNI
पसंद,PASAND
स्टैंड,STAND
सीधा,SEEDHA
आती,AATI
वहाँ,WAHAN
लेफ्ट,LEFT
लेके,LEKE
किराना,KIRANA
लेलो,LELO
पैदा,PAIDA
टेंथ,TENTH
क्यों,KYON
गली,GALI
खेल,KHEL
देते,DETE
अम्मी,AMMI
दोस्ती,DOSTI
सीखा,SIKHA
होने,HONE
हाल,HAAL
देखा,DEKHA
दीपिका,DEEPIKA
अभिनय,ABHINAY
असल,ASAL
अली,ALI
जब,JAB
मेट,MET
सोचा,SOCHA
शायद,SHAYAD
उतना,UTNA
बेरहामपुर,BERHAMPUR
बंगाल,BANGAL
वाला,WALA
मुर्शिदाबाद,MURSHIDABAD
जिला,JILA
सदर,SADAR
जगह,JAGAH
युग,YUG
राजधानी,RAJDHANI
बिहार,BIHAR
कोलकाता,KOLKATA
जाने,JAANE
कई,KAI
करीब,KARIB
घंटे,GHANTE
लगते,LAGTE
लौटा,LAUTA
दे,DE
बीते,BEETE
हुए,HUE
दिन,DIN
हम,HAM
घोडों,GHODON
होकर,HOKAR
दुनियाँ,DUNIYA
जीतने,JEETNE
रखते,RAKHATE
तरह,TARAH
चिंता,CHINTA
मुक्त,MUKT
किन्तु,KINTU
गीत,GEET
अनूप,ANUP
जलोटा,JALOTA
सोनू,SONU
निगम,NIGAM
अनुराधा,ANURADHA
पौडवाल,PAUDWAL
मनोज,MANOJ
इत्यादि,ITYADI
हिन्दी,HINDI
कवियों,KAVIYON
यथा,YATHA
हरिवंश,HARIVANSH
राय,RAY
बच्चन,BACHAN
मैथिली,MAITHILI
शरण,SHARAN
गुप्त,GUPT
रामधारी,RAMDHARI
सिंह,SINH
दिनकर,DINKAR
कभीकभी,KABHIKABHI
अपने,APNE
दिल,DIL
उमादानगुमादान,UMADANGUMADAN
सहारे,SAHARE
शेष,SHESH
पाप,PAP
केवल,KEVAL
उनके,UNKE
दिलजले,DILJALE
मुल्क,MULK
वतन,VATAN
इसके,ISKE
सारी,SAARI
अगर,AGAR
उन्हें,UNHE
लिखने,LIKHNE
अआप,AAP
होती,HOTI
उसमें,USME
भाग,BHAG
लेना,LENA
जाते,JAATE
रास्ते,RASTE
बातें,BATEN
मेरी,MERI
आंध्रप्रदेश,ANDHRAPRADESH
दुर्गा,DURGA
माता,MATA
मंदिर,MANDIR
पर्वत,PARVAT
कहते,KAHATE
गई,GAI
घाट,GHAT
रोड,ROAD
पैदल,PAIDAL
महिनों,MAHINON
चुका,CHUKA
मौसम,MAUSAM
बनता,BANTA
वजह,VAJAH
जन्म,JANM
कलकत्ता,KALKATTA
तमिल,TAMIL
हाई,HAI
अभियांत्रिकी,ABHIYANTRIKI
नागपुर,NAGPUR
उसके,USKE
थाने,THANE
मिली,MILI
लिया,LIYA
मुम्बई,MUMBAI
भारत,BHARAT
सबसे,SABSE
बडा,BADA
आर्थिक,AARTHIK
कहा,KAHA
भारतीय,BHARTIYA
माना,MANA
धूम,DHOOM
धाम,DHAM
मनाया,MANAYA
चाहे,CHAHE
होली,HOLI
कहाँ,KAHAN
आदमी,AADMI
चलता,CHALTA
दूसरे,DUSRE
तेज,TEJ
गति,GATI
चलने,CHALNE
हि,HI
पले,PALE
वे,VE
चीज,CHIJ
सुविधा,SUVIDHA
महसूस,MAHSUS
आदि,AADI
अनेक,ANEK
होटेल्स,HOTELS
जहाँ,JAHAN
चाट,CHAT
लेकर,LEKAR
कॉन्टिनेन्टल,CONTINENTAL
प्रकार,PRAKAR
भोजन,BHOJAN
मिलता,MILTA
ठेले,THELE
वालों,WALON
प्रसिद्ध,PRASIDDH
यदि,YADI
कभी,KABHI
दरभंगा,DARBHANGA
इसका,ISKA
दूरी,DURI
दूर,DOOR
टेन्थ,TENTH
वहीं,VAHIN
जरूर,JAROOR
महिना,MAHINA
दस,DAS
सूखे,SUKHE
पहले,PAHLE
आया,AAYA
रही,RAHI
हिंगलिश,HINGLISH
अन्ग्रेजी,ANGREJI
शब्द,SHABD
चलो,CHALO
शुरु,SHURU
तुम्हें,TUMHE
कह,KAH
सकती,SAKTI
जनसंख्या,JANSANKHYA
हिमालय,HIMALAY
जिसमें,JISME
प्रमुख,PRAMUKH
गंगा,GANGA
गंडक,GANDAK
कोसी,KOSI
सोन,SON
दामोदर,DAMODAR
नदी,NADI
कृषि,KRISHI
प्रधान,PRADHAN
मुख्य,MUKHY
धान,DHAN
पटसन,PATSAN
मूंग,MUNG
दाल,DAL
दर्शनीय,DARSHANIYA
शिव,SHIV
ज्योतिर्लिंग,JYOTIRLING
सिंघेश्वर,SINGHESHWAR
नालंदा,NALANDA
प्राचीन,PRACHIN
विद्यालय,VIDYALAY
पटना,PATNA
पाटलिपुत्र,PATLIPUTRA
महान,MAHAN
सम्राट,SAMRAT
अशोक,ASHOK
बसाई,BASAI
साम्राज्य,SAMRAJYA
उन्नति,UNNTI
देश,DESH
प्रांत,PRANT
पहचान,PAHCHAN
काल,KAL
बने,BANE
वैशाली,VAISHALI
स्तूप,STOOP
दिखते,DIKHATE
पहला,PAHLA
गणतांत्रिक,GANTANTRIK
जिसका,JISKA
बरसात,BARSAAT
भीग,BHIG
पहली,PAHLI
बिना,BINA
भीगे,BHIGE
जैसे,JAISE
बीमार,BIMAR
जुकाम,JUKAM
जाएगा,JAEGA
मानती,MANTI
मस्ती,MASTI
हरकत,HARKAT
कहेगा,KAHEGA
करती,KARTI
शरारती,SHARARTI
बोर,BOR
कारण,KARAN
खुनखुन,KHUNKHUN
रख,RAKH
दिया,DIYA
दम,DAM
सुकून,SUKOON
खाता,KHATA
बिरयानी,BIRYANI
जैसा,JAISA
पिछले,PICHLE
सालों,SALON
यही,YAHI
पाया,PAYA
बदलाव,BADLAV
उनकी,UNKI
दूसरा,DUSRA
रिश्ता,RISHTA
जमाने,JAMANE
इसी,ISI
आगे,AAGE
परिसर,PARISAR
सुन्दर,SUNDER
परंतु,PARANTU
जान,JAAN
डालने,DALNE
कोशिश,KOSHISH
अकसर,AKSAR
हमें,HAME
हमारे,HAMARE
लेते,LETE
मिलके,MILKE
लव,LAV
आज,AAJ
कल,KAL
लगी,LAGI
लगती,LAGTI
देखना,DEKHNA
इतने,ITNE
प्रश्न,PRASHN
पूछेंगे,PUCHENGE
बोलो,BOLO
कमाल,KAMAL
सच,SACH
करनी,KARNI
यहीं,YAHIN
रहती,RAHATI
देल्ही,DELHI
दिमाग,DIMAG
दोनो,DONO
अलग,ALAG
पूछो,POOCHO
दिल्ली,DILLI
बनाने,BANANE
जरुर,JARUR
चाहते,CHAHATE
एवम,EVAM
विदेशियों,VIDESHIYON
होस्पिटल,HOSPITAL
इंफेक्टेड,INFECTED
उनका,UNKA
किया,KIYA
विचार,VICHAR
सरकार,SARKAR
कराना,KARANA
दिनों,DINON
खेलते,KHELTE
क्लासेस,CLASSES
लोगो,LOGO
ग्रुप,GROUP
कहता,KAHTA
मरना,MARNA
इन्क,INK
खराब,KHARAB
करना,KARNA
पानी,PANI
देना,DENA
उन,UN
दिनो,DINO
साइड,SIDE
बाई,BAI
चलती,CHALTI
पूरी,POORI
ध्यान,DHYAN
खुद,KHUD
छूट,CHOOT
बट,BAT
गेम्स,GAMES
थोडे,THODE
बदल,BADAL
देखते,DEKHATE
मौका,MAUKA
बंगल,BANGAL
अलावा,ALAVA
सात,SAAT
जी,JI
पुणे,PUNE
भिलाई,BHILAI
तरफ,TARAF
टेनिस,TENIS
खेला,KHELA
स्टैम्प्स,STAMPS
करने,KARNE
कॉलेज,KALEJ
पोस्ट,POST
यूनिवर्सिटी,UNIVERSITY
यह,YAH
सवाल,SAWAL
होगा,HOGA
उसकी,USKI
चार्म,CHARM
बेहद,BEHAD
उससे,USSE
प्रोब्स,PROBS
आदम,AADAM
जात,JAT
कल्याण,KALYAN
मंत्री,MANTRI
कुवर,KUVAR
द्वारा,DWARA
कार्यक्रम,KARYAKRAM
समीक्षा,SAMIKSHA
सम्पत,SAMPAT
मिलने,MILNE
दो,DO
रीवा,REEVA
खोले,KHOLE
वर्ष,VARSH
स्नातक,SNATAK
पाठ्यक्रम,PATHYAKRAM
श्री,SHRI
खुली,KHULI
अदालत,ADALAT
कांड,KAND
फैसला,FAISLA
सुनाया,SUNAYA
अतिथि,ATITHI
महिला,MAHILA
सशक्तिकरण,SASHAKTIKARAN
आधारित,ADHARIT
पत्रिका,PATRIKA
विमोचन,VIMOCHAN
पंचायत,PANCHAYAT
एवं,EVAN
ग्रामीण,GRAMIN
विकास,VIKAS
नरेन्द्र,NARENDRA
सिन्ध,SINDH
घटना,GHATANA
स्थल,STHAL
दौरा,DAURA
दीर्घ,DIRGH
कालक,KALAK
कदम,KADAM
प्रधानमंत्री,PRADHANMANTRI
खाने,KHANE
मीठा,MEETHA
सोडा,SODA
मधुर,MADHUR
शार,SHAR
सज्जी,SAJJI
अथवा,ATHWA
परिचित,PARICHIT
नारियद,NARIYAD
नई,NAI
नवो,NAVO
उत्पादन,UTPADAN
मानक,MANAK
सुचत,SUCHAT
जापान,JAPAN
आयोजित,AYOJIT
लेने,LENE
आदिवासी,ADIVASI
विद्यार्थी,VIDYARTHI
तथ्य,TATHYA
जल,JAL
दुर्लभ,DURLABH
संसाधन,SANSADHAN
पुलिस,PULIS
कर्मी,KARMI
गवाह,GAWAH
बयान,BAYAN
टिका,TIKA
प्रदो,PRADO
ढाई,DHAI
लाख,LAKH
अधिक,ADHIK
समूह,SAMUH
गठन,GATHAN
अगले,AGLE
महीने,MAHINE
विश्व,VISHV
स्मृति,SMRITI
नया,NAYA
सेट,SET
जारी,JAARI
करेगा,KAREGA
भ्रष्ट,BHRASHT
मिलकर,MILKAR
बिठाया,BITHAYA
अन्नान,ANNAN
कही,KAHI
मुख्यमंत्री,MUKHYAMANTRI
कन्या,KANYA
योजना,YOJNA
अंतर्गत,ANTARGAT
व्यवस्थित,VYAVASTHIT
सामूहिक,SAMUHIK
विवाह,VIVAH
आयोजन,AYOJAN
दी,DI
मचे,MACHE
निर्णय,NIRNAY
सम्मान,SAMMAN
समिति,SAMITI
बैठक,BAITHAK
सर्वसम्मत,SARVASAMMAT
आधार,AADHAR
इससे,ISSE
पूर्व,POORV
नगर,NAGAR
पालिका,PALIKA
अधिकारी,ADHIKARI
प्रस्तुत,PRASTUT
दक्षिण,DAKSHIN
अफ्रिका,AFRICA
पारी,PARI
सर्वाधिक,SARVADHIK
स्कोर,SCORE
बनाया,BANAYA
अनुभवी,ANUBHAVI
वापसी,VAPSI
करेंगे,KARENGE
फ्रांस,FRANS
स्वागत,SWAGAT
मुश्ताक,MUSHTAK
चक्का,CHAKKA
काकम,KAKAM
हरियाणा,HARIYANA
देख,DEKH
रेख,REKH
रखने,RAKHANE
संख्या,SANKHYA
वृद्धि,VRIDDHI
सेना,SENA
दाखिल,DAKHIL
खेलों,KHELON
मनमोहन,MANMOHAN
पावन,PAWAN
अवसर,AWSAR
दोवासियों,DOVASIYON
बधाई,BADHAI
विशेष,VISHESH
उद्देश्य,UDDESHYA
राष्ट्रमंडल,RASTRAMANDAL
भाजपा,BHAJPA
शामिल,SHAMIL
गोविन्द,GOVIND
नारायण,NARAYAN
कार्यशैली,KARYASHALI
कटाक्ष,KATAKSH
डच,DACH
बैंकिंग,BANKING
अमरो,AMRO
बैंक,BANK
विस्तार,VISTAR
पथ,PATH
जिन्दा,JINDA
प्रत्येक,PRATYEK
जीव,JEEV
डाक,DAK
विभाग,VIBHAG
मद्रास,MADRAS
बटालियन,BATALIYAN
ट्रावणकोर,TRAVANKOR
स्मारक,SMARAK
प्राणाली,PRANALI
सुधार,SUDHAR
केंद्र,KENDRA
सरकारों,SARKARON
उल्लेखनीय,ULLEKHNIYA
भूल,BHOOL
कबूल,KABOOL
खूब,KHUB
हँसी,HANSI
उडाई,UDAI
गौरी,GOURI
बाप,BAP
अपितु,APITU
इंदौर,INDOR
स्थित,STHIT
संस्था,SANSTHA
एस्कॉर्ट,ESCORT
कम्प्यूटर्स,COMPUTERS
स्वपनिल,SWAPNIL
शाह,SHAH
केन्द्र,KENDRA
राजनीतिक,RAJNITIK
परिवर्तन,PARIVARTAN
सही,SAHI
दिशा,DISHA
देने,DENE
समर्पित,SAMARPIT
कर्म,KARM
कार्यकर्ता,KARYAKARTA
गीता,GEETA
कहती,KAHTI
योग,YOG
सत्संग,SATSANG
सदबुद्ध,SADBUDDH
आते,AATE
गौर,GOUR
सहेलियों,SAHELIYON
पतियों,PATIYON
चर्चा,CHARCHA
सोनिया,SONIA
गैर,GAIR
एकजुट,EKJUT
होंगे,HONGE
सुरजीत,SURJIT
अहमद,AHMAD
विमान,VIMAN
रतलाम,RATLAM
मुगले,MUGALE
धर्मेंद्र,DHARMENDRA
पकडे,PAKDE
उपकरण,UPKARAN
बरामद,BARAMAD
मालिक,MALIK
भोपाल,BHOPAL
विचारकों,VICHARKON
बंद,BAND
वाली,VALI
विरजन,VIRJAN
बोलना,BOLNA
चाहा,CHAHA
कंठ,KANTH
रुंध,RUNDH
आँखें,AAKHEN
भर,BHAR
चिन्मय,CHINMAY
मिशन,MISHAN
संस्थापक,SANSTHAPAK
स्वामी,SWAMI
चिन्मयानन्द,CHINMAYANAND
सुन्दरानन्द,SUNDERANAND
गुरुभाई,GURUBHAI
आगा,AAGA
खान,KHAN
युवा,YUVA
कार्यक्रमों,KARYAKRAMON
सहायता,SAHAYATA
प्रस्ताव,PRASTAV
जानकारी,JANKAARI
लोकसभा,LOKSABHA
वित्त,VITT
लिखित,LIKHIT
उत्तर,UTTAR
संसार,SANSAAR
सीधे,SEEDHE
प्रसारण,PRASARAN
यानि,YANI
टू,TU
होम,HOM
गन्ना,GANNA
जिसे,JISE
सबके,SABKE
मारन,MARAN
अमरीकी,AMRIKI
कम्पनियों,COMPANIYON
उद्योग,UDYOG
लगाने,LAGANE
सत्ता,SATTA
धनबल,DHANBAL
खरीद,KHARID
विभिन्न,VIBHINN
भागों,BHAGON
खुशी,KHUSHI
अवसरों,AVSARON
वृक्षों,VRIKSHON
सजाने,SAJANE
परम्परा,PARAMPARA
गठबंधन,GATHBANDHAN
सीटें,SEETEN
उम्मीद,UMMEED
गलतियों,GALTIYON
जिन्हें,JINHE
पाते,PAATE
तेल,TEL
कुल,KUL
आयात,AYAT
इराक,IRAK
हिस्सा,HISSA
लादेन,LADEN
अभियान,ABHIYAN
अबु,ABU
जुबायदा,JUBAYADA
अरब,ARB
जन्मा,JANMA
आठ,AATH
माह,MAH
लगभग,LAGBHAG
रुपए,RUPAY
खनिज,KHANIJ
आय,AAY
चाकों,CHAKON
जाँच,JAANCH
भोले,BHOLE
भाले,BHALE
आदिवासियों,ADIVASIYON
बताई,BATAI
कहानी,KAHANI
पुष्टि,PUSHTI
अध्यक्षता,ADHYAKSHATA
सदस्य,SADASY
गिरधारी,GIRDHARI
लाल,LAL
पटेल,PATEL
कम्पनियाँ,KAMPANIYAA
विदेशी,VIDESHI
पूंजी,PUNJI
बाजार,BAJAR
धन,DHAN
जुटाने,JUTANE
स्थिति,STHITI
होंगी,HONGI
विधानसभा,VIDHANSABHA
क्षेत्र,KSHETRA
विधायक,VIDHAYAK
श्याम,SHYAM
खोदानी,KHODANI
शांति,SHANTI
सम्पन्न,SAMPAN
गाँधीनगर,GANDHINAGAR
चौकी,CHAUKI
प्रांगण,PRANGAN
सुरक्षा,SURKSHA
आनंद,ANAND
चार,CHAR
बाजियाँ,BAJIYA
चुके,CHUKE
श्रम,SHRAM
कानूनों,KANUNO
निर्यातक,NIRYATAK
सीमित,SIMIT
उचित,UCHIT
कविता,KAVITA
कवियित्री,KAVIYITRI
क्रमांक,KRAMANK
गहन,GAHAN
अध्ययन,ADHYAYAN
तीसरी,TISRI
दृष्टि,DRISHTI
डाली,DALI
सुधारों,SUDHARON
हश्र,HASHRA
चीन,CHIN
सबक,SABAK
शिक्षक,SHIKSHAK
दिवस,DIVAS
निष्फल,NISHFAL
बीतते,BITTE
सीमा,SEEMA
लाँघने,LANGHANE
पढे,PADHE
लेख,LEKH
दिलाई,DILAI
फ्रांसीसी,FRANSISI
अधिकारियों,ADHIKARIYON
कहना,KAHNA
भीतर,BHITAR
डबल,DABAL
प्रोग्राम,PROGRAM
हालात,HALAT
अवगत,AVGAT
कराने,KARANE
हजारों,HAJARON
पहुँचे,PAHUNCHE
ग्रैन्ड,GRAND
मास्टर,MASTER
मॉस्को,MASKO
टॉल,TAL
मेमोरियल,MEMORIAL
ब्लिट्ज,BLITZ
शतरंज,SHATRANJ
टूर्नामेंट,TURNAMENT
जीत,JEET
पेड्रो,PEDRO
अम्बेदकर,AMBEDKAR
वार्ड,WARD
बाबुलाल,BABULAL
मत,MAT
आस,AAS
परमाणु,PARMANU
बरकरार,BARKARAR
रखेगा,RAKHEGA
बल्कि,BALKI
भविष्य,BHAVISHYA
अप्रिल,APRIL
सौ,SAU
पेट्रोल,PETROL
स्थापित,STHAPIT
राम,RAM
नायक,NAYAK
वर्मा,VARMA
मीटर,METER
शिखर,SHIKHAR
वार्ता,VARTA
तेलगी,TELGI
कार्य,KARYA
संस्कृति,SANSKRITI
पाकिस्तान,PAKISTAN
चरित्रों,CHARITRON
इतिहास,ITIHAS
कठिन,KATHIN
जीवन,JEEVAN
मौलाना,MAULANA
पत्रकारिता,PATRAKARITA
इस्लाम,ISLAM
रुप,RUP
जनता,JANTA
यात्री,YATRI
किनारे,KINARE
पहुँच,PAHUNCH
शादी,SHADI
कौन,KAUN
सी,SI
अपनानी,APNANI
नित्य,NITYA
सेवन,SEVAN
चोटी,CHOTI
पत्री,PATRI
गल,GAL
चौटाला,CHAUTALA
इन,IN
भुजल,BHUJAL
स्रोतों,SROTON
निर्धारण,NIRDHARAN
रिपैरियन,RIPARIAN
राइट्स,RITES
खूनी,KHOONI
खोटी,KHOTI
मिले,MILE
घोषित,GHOSHIT
अपराधी,APRADHI
उठाना,UTHANA
इंडियन,INDIAN
मेडिकल,MEDIKAL
मुद्दे,MUDDE
प्रदेश,PRADESH
प्रतिनिधियों,PRATINIDHIYON
बुद्ध,BUDDH
ग्रहण,GRAHAN
दुनियां,DUNIYA
ढँग,DHANG
पूजा,POOJA
उपर,UPAR
चिरतालिस,CHIRTALIS
निवेश,NIVESH
वित्तीय,VITTIYA
मित्तल,MITTAL
मोटापा,MOTAPA
लेखक,LEKHAK
संघ,SANGH
इसकी,ISKI
स्वामीजी,SWAMIJI
समाधि,SAMADHI
माहौल,MAHAUL
महादेव,MAHADEV
जयघोष,JAYGHOSH
परस्मपक,PARASMAPAK
राष्ट्रीय,RASHTRIYA
ला,LA
ट्राइब्यूनल,TRIBUNAL
भूमिका,BHUMIKA
पत्रकारों,PATRAKARON
उनसे,UNSE
पूछा,POOCHA
मदद,MADAD
माँगेगे,MANGEGE
उल्लिखित,ULLIKHIT
दल,DAL
समताहिरादासी,SAMATAHIRADASI
गोंथा,GONTHA
बीत,BEET
निफ्टी,NIFTY
इंडेक्स,INDEX
चलते,CHALTE
अभियोग,ABHIYOG
स्पष्ट,SPASHT
उसने,USNE
नर्मदा,NARMADA
बचाव,BACHAV
सुरक्षित,SURAKSHIT
निकाला,NIKALA
परिवहन,PARIVAHAN
भारी,BHARI
फैसले,FAISLE
रात,RAT
मंत्रिपरिषद,MANTRIPARISHAD
विकल्प,VIKALP
विषय,VISHAY
राज्यों,RAJYON
परम्परागत,PARAMPARAGAT
क्राफ्ट,CRAFT
गाँगुली,GANGULI
मेहनत,MEHNAT
सुख,SUKH
पाने,PANE
शरीर,SHARIR
वृक्ष,VRIKSH
शिवराज,SHIVARAJ
चौहान,CHOHAN
हरियाली,HARIYALI
महोत्सव,MAHOTSAV
खरीदारी,KHARIDARI
पर्व,PARV
फिल्म,FILM
मेल,MEL
अविनाश,AVINASH
अनिल,ANIL
कपूर,KAPUR
स्टेशन,STATION
नक्सलियों,NAKSALIYON
आह्वान,AHWAN
दौरान,DAURAN
हिंसा,HINSA
रेल,REL
लाइन,LINE
न्यायाधिशों,NYAYADHISHON
लगाया,LAGAYA
उपकार,UPKAR
विधान,VIDHAN
सभा,SABHA
अधिकार,ADHIKAR
जतिन,JATIN
ललित,LALIT
मानना,MANNA
इंडस्ट्री,INDUSTRY
बैठे,BAITHE
अधिनियम,ADHINIYAM
चौरासी,CHAURASI
अधीन,ADHIN
गैस,GAS
नियमावली,NIYAMAVALI
अधिसूचित,ADHISUCHIT
ब्रेट,BRET
ली,LI
सम्हाला,SAMHALA
हेरोइन,HEROIN
आसानी,AASANI
दामों,DAMON
उपलब्ध,UPLABDH
श्रव,SHRAV
सूचना,SUCHNA
प्रदान,PRADAN
शिक्षा,SHIKSHA
उपलब्धी,UPLABDHI
हासिल,HASIL
वह,VAH
बनाकर,BANAKAR
मरने,MARNE
जम्मु,JAMMU
कश्मीर,KASHMIR
साहब,SAHAB
बोर्ड,BORD
उपयोग,UPYOG
मैदानों,MAIDANO
परिशिक्षण,PARISHIKSHAN
निर्माण,NIRMAN
आपने,AAPNE
लक्ष्य,LAKSHYA
अनुरुप,ANURUP
विद्युत,VIDYUT
नितिश,NITISH
चंद्र,CHANDRA
इन्डो,INDO
ब्रिटिश,BRITISH
ब्रज,BRAJ
उपवन,UPVAN
तथा,TATHA
पर्वतों,PARVATON
बताया,BATAYA
अन्य,ANY
तुरंत,TURANT
अध्यक्ष,ADHYAKSH
अम्बावटा,AMBAVATA
श्रीमती,SHRIMATI
राधा,RADHA
मंत्रालय,MANTRALAY
सचिव,SACHIV
पदभार,PADBHAR
दुग्ध,DUGDH
स्थापना,STHAPNA
आधुनिकीकरण,ADHUNIKIKARAN
पदार्थ,PADARTH
गोलियों,GOLIYON
अनुसार,ANUSAAR
सिलसिला,SILSILA
कब,KAB
आधुनिक,ADHUNIK
स्वतंत्रता,SWATANTRATA
अनुबन्धित,ANUBANDHIT
कुष्ट,KUSHT
कर्मचारी,KARMACHARI
प्रांतीय,PRANTIYA
सम्मेलन,SAMMELAN
मांगीलाल,MANGILAL
चुरिया,CHURIYA
कटरा,KATRA
देढ़,DEDH
ढाबा,DHABA
बोली,BOLI
वाह,WAH
काली,KALI
बीच,BICH
सफेद,SAFED
सेवा,SEVA
अनुसूचित,ANUSUCHIT
जनजाति,JANJATI
अभ्यार्थियों,ABHYARTHIYON
प्रोत्साहन,PROTSAHAN
प्रतिस्पर्धा,PRATISPARDHA
बेहतर,BEHTAR
मंत्रिमंडल,MANTRIMANDAL
राषट्रीय,RASHTRIYA
इस्पात,ISPAT
नीती,NEETI
कमरे,KAMRE
सुखाया,SUKHAYA
संदेह,SANDEH
परचा,PARCHA
उपनिरीक्षक,UPANIRIKSHAK
बंदी,BANDI
लेखा,LEKHA
नीतियाँ,NEETIYA
सलाहकार,SALAHKAR
घोषणा,GHOSHNA
खैर,KHAIR
क्यूँ,KYUN
सोचे,SOCHE
आँखों,AAKHON
हिमांशु,HIMANSHU
मेहता,MEHTA
रोशनी,ROSHNI
ग्राम,GRAM
विस्थापित,VISTHAPIT
परिवारों,PARIVARON
पहल,PAHAL
केन्द्रीय,KENDRIA
सरताज,SARTAJ
गोविंद,GOVIND
पुलिया,PULIYA
बोला,BOLA
भगवान,BHAGWAN
कथा,KATHA
सुन,SUN
प्रगति,PRAGATI
चमत्कृत,CHAMATKRIT
कार्यालय,KARYALAY
जमा,JAMA
खुले,KHULE
रहेंगे,RAHENGE
परिषद,PARISHAD
रबी,RABI
समर्थन,SAMARTHAN
मूल्य,MULYA
उपार्जन,UPARJAN
खतरा,KHATRA
उदारिकृत,UDARIKRIT
मुकाबले,MUKABLE
पंद्रह,PANDRAH
देह,DEH
कला,KALA
खेती,KHETI
दास्ताबो,DASTABO
अनुदान,ANUDAN
परीक्षा,PARIKSHA
विस्तृत,VISTRIT
आयोग,AYOG
स्वराज,SWARAJ
पति,PATI
कौशल,KAUSHAL
राज्यसभा,RAJYASABHA
समुद्र,SAMUDRA
छिपी,CHIPI
सम्पदा,SAMPADA
सदा,SADA
आकर्षित,AKARSHIT
वसूली,VASULI
वहतुल,VAHTUL
सद्दी,SADDI
राजगृह,RAJGRIH
